symbol,date,row_type,composite_score,direction,factor_count,updated_at,engine_version,factor_code,factor_name,raw_value,normalized_score,weight,contribution,factor_direction,ic_value
AG,2026-04-06,SUMMARY,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,,,,,,,,
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_AU_AG_RATIO,金银比因子,0.003263,-0.433,0.18,-0.077945,negative,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_INDUSTRIAL_IP,全球工业生产因子,1025.0,1.0,0.18,0.179992,positive,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_CU_PRICE,铜价联动因子,96250.0,-0.7975,0.15,-0.119627,positive,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_USD_CNY,美元/人民币汇率因子,7.2,-0.9989,0.14,-0.139845,negative,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_Solar_Demand,光伏白银需求因子,1025.0,1.0,0.15,0.149993,positive,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_CHINA_PMI,中国PMI/制造业需求因子,50.4,0.8444,0.12,0.101325,positive,0.0
AG,2026-04-06,FACTOR,0.014,NEUTRAL,7,2026-04-21T00:48:57+08:00,backfill_v1.0,AG_GOLD_NDF,黄金NDF隐含汇率因子,7.2,-0.9989,0.08,-0.079911,negative,0.0
