symbol,date,row_type,composite_score,direction,factor_count,updated_at,engine_version,factor_code,factor_name,raw_value,normalized_score,weight,contribution,factor_direction,ic_value
CU,2026-01-30,SUMMARY,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,,,,,,,,
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_LME_INVENTORY,LME铜库存因子,174975.0,-0.3466,0.18,-0.062381,negative,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_CHINA_PMI,中国制造业PMI因子,49.3,0.0,0.2,0.0,positive,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_USD_CNY,美元/人民币汇率因子,6.9497,0.478,0.15,0.0717,negative,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_REER,人民币实际有效汇率因子,31.580094,-0.417,0.12,-0.050044,negative,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_PROPERTY,中国房地产销售因子,91.45,0.0,0.15,0.0,positive,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_NEW_ENERGY,新能源汽车销量因子,5.7,0.0,0.12,0.0,positive,0.0
CU,2026-01-30,FACTOR,-0.0074,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_RISK_APPETITE,风险偏好因子,31.580094,0.417,0.08,0.033362,positive,0.0
