symbol,date,row_type,composite_score,direction,factor_count,updated_at,engine_version,factor_code,factor_name,raw_value,normalized_score,weight,contribution,factor_direction,ic_value
CU,2026-04-02,SUMMARY,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,,,,,,,,
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_LME_INVENTORY,LME铜库存因子,364450.0,-0.6007,0.18,-0.108118,negative,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_CHINA_PMI,中国制造业PMI因子,50.4,0.8444,0.2,0.168876,positive,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_USD_CNY,美元/人民币汇率因子,6.8976,0.1692,0.15,0.025386,negative,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_REER,人民币实际有效汇率因子,41.165982,-0.9633,0.12,-0.115601,negative,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_PROPERTY,中国房地产销售因子,91.45,0.0,0.15,0.0,positive,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_NEW_ENERGY,新能源汽车销量因子,5.7,0.0,0.12,0.0,positive,0.0
CU,2026-04-02,FACTOR,0.0476,NEUTRAL,7,2026-04-21T00:33:52+08:00,backfill_v1.0,CU_RISK_APPETITE,风险偏好因子,41.165982,0.9633,0.08,0.077067,positive,0.0
