月份,JM月均价格
2023-01,1852.21875
2023-02,1889.55
2023-03,1909.6521739130435
2023-04,1602.0
2023-05,1330.525
2023-06,1316.175
2023-07,1419.5
2023-08,1468.4347826086957
2023-09,1781.4
2023-10,1762.4117647058824
2023-11,2001.4318181818182
2023-12,1953.0
2024-01,1814.0454545454545
2024-02,1729.4666666666667
2024-03,1653.8333333333333
2024-04,1683.8
2024-05,1747.275
2024-06,1611.157894736842
2024-07,1540.8478260869565
2024-08,1371.590909090909
2024-09,1296.7105263157894
2024-10,1400.0555555555557
2024-11,1294.3809523809523
2024-12,1166.7272727272727
2025-01,1135.5833333333333
2025-02,1108.361111111111
2025-03,1052.095238095238
2025-04,955.0238095238095
2025-05,842.0263157894736
2025-06,788.025
2025-07,979.2391304347826
2025-08,1193.357142857143
2025-09,1169.409090909091
2025-10,1213.5882352941176
2025-11,1180.0
2025-12,1093.3695652173913
2026-01,1157.85
2026-02,1133.5714285714287
2026-03,1170.3181818181818
2026-04,1117.375
