datetime,open,high,low,close,volume,open_interest
2026-01-05 14:14:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:15:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:16:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:17:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:18:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:19:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:20:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:21:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:22:00,3080.0,3080.0,3080.0,3080.0,0,17280
2026-01-05 14:26:00,3080.0,3083.0,3080.0,3083.0,60,17250
2026-01-05 14:27:00,3083.0,3083.0,3083.0,3083.0,180,17040
2026-01-05 14:28:00,3083.0,3083.0,3083.0,3083.0,90,16950
2026-01-05 14:30:00,3083.0,3083.0,3083.0,3083.0,0,16950
2026-01-05 14:32:00,3083.0,3083.0,3083.0,3083.0,0,16950
2026-01-05 14:36:00,3083.0,3083.0,3083.0,3083.0,0,16950
2026-01-05 14:37:00,3083.0,3083.0,3083.0,3083.0,0,16950
2026-01-05 14:38:00,3083.0,3083.0,3083.0,3083.0,0,16950
2026-01-05 14:41:00,3081.0,3081.0,3081.0,3081.0,30,16920
2026-01-05 14:42:00,3081.0,3081.0,3081.0,3081.0,30,16890
2026-01-05 14:43:00,3081.0,3081.0,3081.0,3081.0,0,16890
2026-01-05 14:44:00,3081.0,3081.0,3081.0,3081.0,0,16890
2026-01-05 14:45:00,3081.0,3081.0,3081.0,3081.0,0,16890
2026-01-05 14:46:00,3081.0,3081.0,3081.0,3081.0,0,16890
2026-01-05 14:47:00,3081.0,3081.0,3080.0,3080.0,30,16860
2026-01-05 14:48:00,3080.0,3080.0,3080.0,3080.0,0,16860
2026-01-05 14:49:00,3080.0,3080.0,3080.0,3080.0,0,16860
2026-01-05 14:50:00,3080.0,3080.0,3080.0,3080.0,0,16860
2026-01-05 14:51:00,3080.0,3080.0,3079.0,3079.0,150,16800
2026-01-05 14:52:00,3078.0,3078.0,3076.0,3076.0,120,16590
2026-01-05 14:53:00,3076.0,3076.0,3076.0,3076.0,0,16590
2026-01-05 14:54:00,3074.0,3074.0,3074.0,3074.0,0,16560
2026-01-05 14:55:00,3074.0,3074.0,3074.0,3074.0,0,16560
2026-01-05 14:56:00,3074.0,3083.0,3074.0,3083.0,150,16470
