date,open,high,low,close,volume,hold,settle
2019-08-12,9805.0,10175.0,9720.0,9820.0,87618,19456,9865.0
2019-08-13,9780.0,9980.0,9775.0,9855.0,18956,17864,9855.0
2019-08-14,9840.0,10220.0,9785.0,9995.0,37116,23014,9965.0
2019-08-15,9935.0,9980.0,9850.0,9865.0,12196,23046,9905.0
2019-08-16,9860.0,9940.0,9830.0,9875.0,10154,22704,9880.0
2019-08-19,9885.0,10080.0,9885.0,10030.0,13220,25496,9995.0
2019-08-20,10030.0,10035.0,9945.0,9975.0,5090,25008,9985.0
2019-08-21,9960.0,9975.0,9835.0,9890.0,9092,23756,9875.0
2019-08-22,9890.0,9925.0,9815.0,9910.0,3656,23148,9875.0
2019-08-23,9860.0,9905.0,9780.0,9815.0,6312,21702,9820.0
2019-08-26,9840.0,9940.0,9700.0,9915.0,10520,21562,9825.0
2019-08-27,9915.0,9980.0,9860.0,9900.0,4724,21966,9915.0
2019-08-28,9930.0,10095.0,9860.0,9970.0,14340,24574,10000.0
2019-08-29,9965.0,10030.0,9905.0,9940.0,4078,24906,9965.0
2019-08-30,9925.0,10080.0,9925.0,10065.0,7310,24738,10010.0
2019-09-02,10080.0,10195.0,10000.0,10045.0,12106,24118,10075.0
2019-09-03,10025.0,10135.0,10010.0,10135.0,5134,24496,10070.0
2019-09-04,10110.0,10475.0,9900.0,10395.0,19446,26182,10290.0
2019-09-05,10405.0,10455.0,10210.0,10310.0,7412,26610,10345.0
2019-09-06,10325.0,10400.0,10160.0,10190.0,10156,26616,10300.0
2019-09-09,10195.0,10300.0,10115.0,10265.0,4602,27004,10225.0
2019-09-10,10280.0,10315.0,10155.0,10270.0,4564,26836,10235.0
2019-09-11,10260.0,10270.0,10155.0,10220.0,4804,27036,10215.0
2019-09-12,10190.0,10250.0,10120.0,10145.0,4114,27040,10175.0
2019-09-16,10225.0,10380.0,10200.0,10255.0,5002,26750,10275.0
2019-09-17,10275.0,10415.0,10210.0,10255.0,6162,26992,10310.0
2019-09-18,10250.0,10260.0,10050.0,10145.0,7318,25388,10175.0
2019-09-19,10145.0,10195.0,10080.0,10105.0,2876,25004,10145.0
2019-09-20,10075.0,10120.0,10025.0,10100.0,4506,24098,10070.0
2019-09-23,10100.0,10265.0,10085.0,10210.0,5534,24518,10185.0
2019-09-24,10210.0,10240.0,10100.0,10100.0,2152,24042,10170.0
2019-09-25,10105.0,10125.0,10000.0,10025.0,6794,22248,10050.0
2019-09-26,9995.0,10060.0,9910.0,9910.0,5566,21898,9980.0
2019-09-27,9910.0,9930.0,9700.0,9785.0,12902,20932,9795.0
2019-09-30,9785.0,9875.0,9740.0,9745.0,4236,20640,9790.0
2019-10-08,9725.0,9850.0,9600.0,9680.0,5480,21442,9700.0
